ExperienceGroup,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,S1,16,192,5.317708333333333,1.309689607259959,6.0,2.0,7.0,-0.8605998629686987,0.10152522851923296,5.131273778597639,5.504142888069027,1.3172825677476574e-11
High,S2,16,192,5.458333333333333,1.364598528817782,6.0,2.0,7.0,-0.8610021817040078,-0.11013739045243165,5.264082483587811,5.652584183078855,3.5725779973239113e-12
High,S3,16,192,5.286458333333333,1.5774005916466018,6.0,1.0,7.0,-0.9030578073384058,0.08629636462521972,5.061915071087623,5.511001595579043,1.4072604193060556e-11
High,S4,16,192,5.3125,1.5607254320813606,6.0,1.0,7.0,-0.9575090837956571,0.1880279582152551,5.090330449763195,5.534669550236805,6.489011585009141e-12
High,S5,16,192,6.6875,1.7534558248906449,7.0,2.0,9.0,-0.6492637667719064,-0.12776496835885132,6.437895243155267,6.937104756844733,1.1694437418441339e-08
Low,S1,8,96,5.322916666666667,1.3572013903747258,5.0,1.0,7.0,-0.6095667324269803,0.21277342913658925,5.04792210606388,5.597911227269454,2.2668411929771537e-06
Low,S2,8,96,5.5,1.3298199324087374,6.0,2.0,7.0,-0.6582695279834828,-0.4080698854696303,5.2305534384306815,5.7694465615693185,3.8288038695100113e-07
Low,S3,8,96,5.239583333333333,1.3897731103477342,6.0,1.0,7.0,-0.6335832889411851,-0.17235244787962456,4.957989128871073,5.521177537795593,3.1271040370484116e-06
Low,S4,8,96,5.125,1.459992790176863,5.0,1.0,7.0,-0.5531294519081174,-0.07395695347092168,4.829177966022367,5.420822033977633,1.3302346815180499e-05
Low,S5,8,96,6.25,1.635140425323255,6.0,3.0,9.0,0.16229253452723813,-0.9288431342820131,5.918689756749018,6.581310243250982,0.00012125879584345967
