ExperienceGroup,Complexity,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,0,S1,16,96,5.802083333333333,0.8899413542672837,6.0,3.0,7.0,-1.0612899861159015,1.3017968127620039,5.621764455520063,5.982402211146603,4.415295629112137e-10
High,0,S2,16,96,6.15625,0.7857698203203759,6.0,4.0,7.0,-0.8167792940951365,0.5320184674322714,5.9970382367300905,6.3154617632699095,5.733118979556195e-10
High,0,S3,16,96,6.083333333333333,0.9588004201156954,6.0,3.0,7.0,-1.047543609166198,0.9493473673786736,5.889062312020362,6.2776043546463045,1.4683059212927674e-09
High,0,S4,16,96,5.927083333333333,1.0487565736991553,6.0,2.0,7.0,-1.193889387204349,1.725284912988653,5.714585501243686,6.13958116542298,3.6927469970748916e-09
High,0,S5,16,96,7.322916666666667,1.3098396178774725,7.0,3.0,9.0,-0.5650941258430288,0.03621170060343548,7.057518493092084,7.58831484024125,4.3434692997834645e-06
High,1,S1,16,96,4.833333333333333,1.4773138259526568,5.0,2.0,7.0,-0.34639418161580665,-0.7569202559616883,4.5340017313165495,5.132664935350117,2.132466215698514e-05
High,1,S2,16,96,4.760416666666667,1.4635558117253638,5.0,2.0,7.0,-0.2517770238866652,-1.024162853241882,4.463872697424233,5.056960635909101,1.1730719052138738e-05
High,1,S3,16,96,4.489583333333333,1.673287288805241,5.0,1.0,7.0,-0.3601103211994128,-0.756738361750231,4.150543817156461,4.8286228495102055,7.283243030542508e-05
High,1,S4,16,96,4.697916666666667,1.7418670664528288,5.0,1.0,7.0,-0.4498162960502632,-0.7985313014148501,4.344981596039156,5.050851737294178,1.6759373465902172e-05
High,1,S5,16,96,6.052083333333333,1.9104686207517758,6.0,2.0,9.0,-0.29784364575506295,-0.7154857571844682,5.664986412688423,6.439180253978243,0.000397227966459468
Low,0,S1,8,48,6.020833333333333,0.8870122773343355,6.0,4.0,7.0,-0.2326006779668331,-1.267835302519341,5.763271816690024,6.278394849976642,3.586816774259205e-06
Low,0,S2,8,48,6.25,0.6995439243733446,6.0,4.0,7.0,-0.7782548335923063,0.9564559875071912,6.046873618636172,6.453126381363828,5.017383841732226e-07
Low,0,S3,8,48,6.0,0.8505317485662419,6.0,4.0,7.0,-0.8660145741381562,0.586645604533373,5.753031324693337,6.246968675306663,1.573848408042977e-06
Low,0,S4,8,48,5.875,1.023656358562546,6.0,4.0,7.0,-0.4851033429851625,-0.8753325931793055,5.577761178204573,6.172238821795427,2.1014710000599734e-05
Low,0,S5,8,48,6.979166666666667,1.4802182606935979,7.0,4.0,9.0,-0.209223029571315,-0.8840630654030361,6.549356088020454,7.4089772453128795,0.0017688650405034423
Low,1,S1,8,48,4.625,1.3933733748360946,5.0,1.0,7.0,-0.17080763355533976,0.11333347475258382,4.220406547526375,5.029593452473625,0.00876533705741167
Low,1,S2,8,48,4.75,1.391463335041911,5.0,2.0,7.0,0.17305714747994513,-0.6690678329474316,4.345961165268214,5.154038834731786,0.0027754257898777723
Low,1,S3,8,48,4.479166666666667,1.4140568367603377,4.0,1.0,7.0,0.02060490507788795,-0.20255951959364848,4.068567362911421,4.889765970421913,0.023137647658586502
Low,1,S4,8,48,4.375,1.4531696830238288,4.0,1.0,7.0,-0.17499576711120554,-0.026788435626929452,3.953043509584231,4.796956490415769,0.0317787267267704
Low,1,S5,8,48,5.520833333333333,1.4584979643649618,5.0,3.0,9.0,0.6440428512996677,-2.555412468296936e-06,5.097329671296165,5.944336995370501,0.0034089479595422745
