ExperienceGroup,WWR,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,15,S1,16,64,5.015625,1.4419143745354868,5.0,2.0,7.0,-0.6511595510785885,-0.5058036939014663,4.655445505950205,5.375804494049795,3.0825154681224376e-05
High,15,S2,16,64,5.234375,1.4336343814524468,6.0,2.0,7.0,-0.5942632532449695,-0.5266217025954152,4.8762637866831335,5.5924862133168665,7.803900371072814e-05
High,15,S3,16,64,5.265625,1.6737201933759076,6.0,1.0,7.0,-0.8765729814453769,-0.1036751704698613,4.847542135249266,5.683707864750734,6.6693819462670945e-06
High,15,S4,16,64,4.890625,1.6725343140713231,5.0,1.0,7.0,-0.6201761812118556,-0.49132230980572533,4.472838359085766,5.308411640914234,0.00018825172446668148
High,15,S5,16,64,6.15625,1.8276426832884425,6.0,2.0,9.0,-0.3512929538948499,-0.6525300490741341,5.699718441263923,6.612781558736077,0.004210674669593573
High,45,S1,16,64,5.4375,1.232818425333297,6.0,2.0,7.0,-1.0059264422802514,0.6989128140993128,5.129551120001589,5.745448879998411,3.865341568598524e-06
High,45,S2,16,64,5.65625,1.1981301569595322,6.0,2.0,7.0,-1.1825948903550547,1.073545114190904,5.356965991628486,5.955534008371514,3.2715669817662274e-07
High,45,S3,16,64,5.546875,1.4899631134243154,6.0,2.0,7.0,-1.0745569118912293,0.3972608634949646,5.174693288087383,5.919056711912617,5.364092316995084e-07
High,45,S4,16,64,5.53125,1.4361406616345072,6.0,1.0,7.0,-1.176496905623967,1.0004314228149624,5.1725127365210275,5.8899872634789725,1.2465685585993924e-06
High,45,S5,16,64,6.890625,1.5646612037561622,7.0,3.0,9.0,-0.53172397154656,-0.09097028708793031,6.499784260299497,7.281465739700503,0.0005294401780702174
High,75,S1,16,64,5.5,1.2084359562332876,6.0,2.0,7.0,-0.8913495534238581,0.4049212317024531,5.198141679565471,5.801858320434529,8.34968886920251e-06
High,75,S2,16,64,5.484375,1.4363996824070406,6.0,2.0,7.0,-0.8799274458035443,-0.2328175159647876,5.1255730350571636,5.8431769649428364,1.532788132863061e-06
High,75,S3,16,64,5.046875,1.5474473347963265,5.0,1.0,7.0,-0.8499656362728609,0.30165472174937147,4.660334156827396,5.433415843172604,5.286942541715689e-05
High,75,S4,16,64,5.515625,1.5012395671894736,6.0,1.0,7.0,-1.1787686646230404,0.8872010465665685,5.140626513746591,5.890623486253409,5.65423249554442e-07
High,75,S5,16,64,7.015625,1.7592583890279108,7.0,2.0,9.0,-1.0536605988245606,0.8991270810939813,6.576175329719086,7.455074670280914,1.4481103789876215e-05
Low,15,S1,8,32,5.1875,1.3304740847993173,5.0,1.0,7.0,-0.8046868754531598,1.8055794431435537,4.707812939603551,5.667187060396449,0.003764604451134801
Low,15,S2,8,32,5.34375,1.334634781503914,5.5,2.0,7.0,-0.596955520337163,-0.15320685649490473,4.862562848474958,5.824937151525042,0.01199511718004942
Low,15,S3,8,32,5.34375,1.310241913147241,6.0,2.0,7.0,-0.6911535816308514,-0.006418638485518713,4.871357415351784,5.816142584648216,0.00824868492782116
Low,15,S4,8,32,4.71875,1.3496564676409923,5.0,1.0,7.0,-0.6248079926487119,0.719241273261507,4.2321469530827684,5.2053530469172316,0.026227915659546852
Low,15,S5,8,32,5.90625,1.5103807466993215,5.5,3.0,9.0,0.2288478395279796,-0.8470272530246175,5.3616996711051135,6.4508003288948865,0.03784402459859848
Low,45,S1,8,32,5.3125,1.281065584682558,5.0,3.0,7.0,-0.14192730176514382,-0.8899835360226787,4.850626603507558,5.774373396492442,0.004801061470061541
Low,45,S2,8,32,5.5625,1.3425421240462847,6.0,2.0,7.0,-0.8245068092957235,0.05105123668965961,5.078461947474305,6.046538052525695,0.001142288325354457
Low,45,S3,8,32,5.40625,1.3645127926444378,6.0,3.0,7.0,-0.48066562251357037,-0.9798123236792611,4.914290676736903,5.898209323263097,0.0016277178656309843
Low,45,S4,8,32,5.125,1.3619246343602935,5.0,2.0,7.0,-0.3217952436634439,-0.5321791278273906,4.633973807305432,5.616026192694568,0.03446393460035324
Low,45,S5,8,32,6.21875,1.5808200199528948,6.0,4.0,9.0,0.24236684594509159,-1.0043971536421654,5.648803604913741,6.788696395086259,0.02519611082971096
Low,75,S1,8,32,5.46875,1.4807229054014952,6.0,2.0,7.0,-0.8889724298034964,0.1813391239219868,4.934892463149992,6.002607536850008,0.0007848282111808658
Low,75,S2,8,32,5.59375,1.3406636536648797,6.0,3.0,7.0,-0.6418163845155128,-0.7938639979718327,5.1103892082684785,6.0771107917315215,0.0005591818480752409
Low,75,S3,8,32,4.96875,1.4915758066879383,5.0,1.0,7.0,-0.6898735123450556,0.20065905808490347,4.430979574974006,5.506520425025994,0.00820489414036274
Low,75,S4,8,32,5.53125,1.5859132913693408,6.0,1.0,7.0,-1.0184354399392272,0.5442122290327323,4.959467284746765,6.103032715253235,0.0003688272263389081
Low,75,S5,8,32,6.625,1.7734602590198012,7.0,3.0,9.0,-0.09021910651013554,-0.9026032782425357,5.9855993922779405,7.2644006077220595,0.016452649608254433
