WWR,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
15,S1,24,96,5.072916666666667,1.4010882361985761,5.0,1.0,7.0,-0.6950767684317225,0.024733901637341127,4.789029804619775,5.356803528713559,7.700698915868998e-06
15,S2,24,96,5.270833333333333,1.395324272189588,6.0,2.0,7.0,-0.5943237627783532,-0.4443710605894493,4.98811435894204,5.553552307724626,2.5845665732049383e-06
15,S3,24,96,5.291666666666667,1.555409349854255,6.0,1.0,7.0,-0.861297066827991,0.03646349675846361,4.9765114408069735,5.60682189252636,3.190378947692807e-07
15,S4,24,96,4.833333333333333,1.5672078199387578,5.0,1.0,7.0,-0.5889707171789641,-0.27111347050831425,4.515787515244893,5.150879151421773,2.3836908439989202e-05
15,S5,24,96,6.072916666666667,1.7244055675517607,6.0,2.0,9.0,-0.19043181807688248,-0.7074249275249636,5.723519624552698,6.422313708780636,0.0008547158795408905
45,S1,24,96,5.395833333333333,1.2437563364909556,6.0,2.0,7.0,-0.6954535455598613,0.007388208891332848,5.143824877052701,5.647841789613965,1.550279534967558e-06
45,S2,24,96,5.625,1.2418153096003828,6.0,2.0,7.0,-1.0336214299016133,0.5725793000436115,5.373384832320954,5.876615167679046,1.7232402171885042e-08
45,S3,24,96,5.5,1.4436795095573633,6.0,2.0,7.0,-0.8896245185205878,-0.03836906953522634,5.207483343888736,5.792516656111264,4.5590738295686606e-08
45,S4,24,96,5.395833333333333,1.4177756237494865,6.0,1.0,7.0,-0.8703158260097497,0.24805520186642926,5.108565292310559,5.683101374356107,4.3519770542843617e-07
45,S5,24,96,6.666666666666667,1.5938478212153702,7.0,3.0,9.0,-0.2631489005215545,-0.6684989750334447,6.343723082633192,6.989610250700142,0.0001765263732522726
75,S1,24,96,5.489583333333333,1.297729123196741,6.0,2.0,7.0,-0.8915509277746676,0.3278986042452803,5.226638974046761,5.752527692619905,1.542683207844675e-07
75,S2,24,96,5.520833333333333,1.3990911837156566,6.0,2.0,7.0,-0.8091121543718461,-0.3706697885382777,5.237351111728114,5.804315554938552,3.2610305567004616e-08
75,S3,24,96,5.020833333333333,1.5216277065014896,5.0,1.0,7.0,-0.7864847396910409,0.19274518129656304,4.712522904595214,5.329143762071452,3.936146185878897e-06
75,S4,24,96,5.520833333333333,1.5216277065014896,6.0,1.0,7.0,-1.102301301672283,0.6625668250386574,5.212522904595214,5.829143762071452,1.2326263565398676e-08
75,S5,24,96,6.885416666666667,1.7643832479407744,7.0,2.0,9.0,-0.7147693701083293,0.05261509043652479,6.527919393643371,7.242913939689963,5.577270258072531e-06
