ExperienceGroup,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,IPQ1,22,22,4.318181818181818,1.4601488390005426,5.0,1.0,6.0,-0.9161154937704218,-0.06571760484206601,3.6707880909650097,4.965575545398627,0.004708952736109495
High,IPQ2,22,22,5.7727272727272725,1.0660035817780522,6.0,3.0,7.0,-0.7987107979585032,0.6801275187969922,5.300087762561895,6.24536678289265,0.009347050450742245
High,IPQ3,22,22,5.818181818181818,0.9579921282290986,6.0,3.0,7.0,-1.0340022726146676,2.2046734181484364,5.393431903670967,6.24293173269267,0.0020981491543352604
High,IPQ4,22,22,5.318181818181818,1.2867960816866657,5.0,2.0,7.0,-0.8088183734296773,0.9014822639065954,4.747648397724943,5.888715238638694,0.02839788608253002
High,IPQ5,22,22,5.7727272727272725,1.3427696388548198,6.0,2.0,7.0,-1.4912468248030233,2.1464745119631203,5.177376567324652,6.368077978129893,0.0005501329433172941
High,IPQ6,22,22,6.090909090909091,0.8678978933300583,6.0,3.0,7.0,-2.109734908714988,7.3352149696476605,5.7061047223413235,6.475713459476858,8.855513442540541e-06
High,IPQ_mean,22,22,5.515151515151515,0.8712168266389022,5.583333333333334,3.5,6.833333333333333,-0.6529589464972034,0.24876959921199626,5.128875613992133,5.901427416310896,0.4402170181274414
Low,IPQ1,10,10,5.1,0.5676462121975466,5.0,4.0,6.0,0.09112037889021495,1.4982164090368633,4.6939303619666655,5.506069638033334,0.0037366223987191916
Low,IPQ2,10,10,5.6,0.8432740427115677,6.0,4.0,7.0,-0.38910838396602965,0.3703962053571419,4.996758089935735,6.203241910064264,0.17163728177547455
Low,IPQ3,10,10,5.4,1.2649110640673518,5.5,3.0,7.0,-0.5435164728414413,-0.02604166666666652,4.495137134903604,6.304862865096397,0.44534552097320557
Low,IPQ4,10,10,5.1,1.3703203194062976,5.5,3.0,7.0,-0.5440787235064386,-0.8719682684179735,4.11973189614557,6.080268103854429,0.15990179777145386
Low,IPQ5,10,10,5.4,0.699205898780101,5.5,4.0,6.0,-0.7801057548373044,-0.14610389610389518,4.89981823162488,5.900181768375121,0.008489025756716728
Low,IPQ6,10,10,5.7,1.0593499054713802,5.5,4.0,7.0,0.04205829935456367,-1.2376937835226238,4.942186729300844,6.457813270699156,0.11051025241613388
Low,IPQ_mean,10,10,5.383333333333334,0.6433419688539596,5.583333333333334,4.333333333333333,6.166666666666667,-0.5021898256943006,-1.0950600680792997,4.92311421302453,5.843552453642138,0.33230850100517273
