ExperienceGroup,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,S1,22,264,5.246212121212121,1.26820763932034,5.0,2.0,7.0,-0.7088518711472949,-0.009117501559044783,5.092524239056681,5.399900003367561,1.7414383737118788e-12
High,S2,22,264,5.3977272727272725,1.3583128603078543,6.0,2.0,7.0,-0.7775228758461377,-0.19025615951229957,5.233119979463301,5.562334565991244,1.2632498942299203e-13
High,S3,22,264,5.223484848484849,1.5127021047001403,5.0,1.0,7.0,-0.8029449016679054,-0.01050231185873951,5.0401678776707985,5.406801819298899,7.42090037423454e-13
High,S4,22,264,5.28030303030303,1.5394156905396763,6.0,1.0,7.0,-0.819082444121905,-0.1093609302886227,5.093748770653017,5.466857289953044,2.2350033607697328e-13
High,S5,22,264,6.568181818181818,1.7708805646968429,7.0,2.0,9.0,-0.5355518106128309,-0.3601707167418642,6.353577462317548,6.782786174046088,8.96608343126104e-10
Low,S1,10,120,5.191666666666666,1.385979211730876,5.0,1.0,7.0,-0.4663407009978006,-0.18902953967063096,4.9411404441957725,5.44219288913756,8.739859822526341e-07
Low,S2,10,120,5.308333333333334,1.418934582755687,6.0,2.0,7.0,-0.5448414719986477,-0.6398886243260793,5.051850178360789,5.564816488305878,1.485754665964123e-07
Low,S3,10,120,5.058333333333334,1.491126883854456,5.0,1.0,7.0,-0.5343983351857524,-0.5100590137383061,4.788800874061939,5.327865792604728,1.1256590823904844e-06
Low,S4,10,120,5.0,1.4781319121038663,5.0,1.0,7.0,-0.44455139685257994,-0.37410413275421783,4.732816480132772,5.267183519867228,6.08373966315412e-06
Low,S5,10,120,6.108333333333333,1.7431538756442784,6.0,2.0,9.0,-0.08175132752602574,-0.5161359973950641,5.793245089617701,6.423421577048966,0.00025794203975237906
