ExperienceGroup,WWR,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,15,S1,22,88,4.988636363636363,1.385427592252706,5.0,2.0,7.0,-0.5630747007484146,-0.5621980632652672,4.695092305209289,5.282180422063438,6.286944881139789e-06
High,15,S2,22,88,5.204545454545454,1.4555410646950457,5.5,2.0,7.0,-0.5944551770877834,-0.5241990481117664,4.896145770774818,5.51294513831609,5.0380799621052574e-06
High,15,S3,22,88,5.261363636363637,1.586540501468657,6.0,1.0,7.0,-0.7960171365320743,-0.14913878537559944,4.925207824061115,5.597519448666159,8.870210308487003e-07
High,15,S4,22,88,4.8977272727272725,1.6680897790502125,5.0,1.0,7.0,-0.5185362230975538,-0.7202718922017532,4.544292819493281,5.251161725961264,1.5625942978658713e-05
High,15,S5,22,88,6.159090909090909,1.8313136020031968,6.5,2.0,9.0,-0.3094879203072342,-0.8283216793623356,5.771072632285384,6.547109185896434,0.0004126023268327117
High,45,S1,22,88,5.318181818181818,1.2086418191598132,5.0,2.0,7.0,-0.800371124713627,0.6033445516885738,5.062095085995429,5.574268550368208,1.6377316569560207e-06
High,45,S2,22,88,5.568181818181818,1.2110169996571991,6.0,2.0,7.0,-1.0173703249566528,0.7233261371159174,5.31159183333423,5.824771803029407,1.0547222473178408e-07
High,45,S3,22,88,5.3977272727272725,1.4742211871605078,6.0,2.0,7.0,-0.8521818477699381,-0.08536612605375149,5.085369649190539,5.710084896264006,2.5041663320735097e-07
High,45,S4,22,88,5.4772727272727275,1.4382082781021923,6.0,1.0,7.0,-1.0090907177585713,0.4650337460883671,5.172545510073977,5.781999944471478,1.5809742137662397e-07
High,45,S5,22,88,6.693181818181818,1.6633849613906473,7.0,2.0,9.0,-0.462276466855499,-0.09768139753900629,6.3407442205595315,7.045619415804105,0.00018397386884316802
High,75,S1,22,88,5.431818181818182,1.1724368428492082,6.0,2.0,7.0,-0.6860759192163294,0.058084292157870365,5.1834025511320805,5.680233812504283,2.8857318739028415e-06
High,75,S2,22,88,5.420454545454546,1.3873118877066564,6.0,2.0,7.0,-0.7433279183635721,-0.3985806463940329,5.1265112429688715,5.71439784794022,3.382457407496986e-07
High,75,S3,22,88,5.011363636363637,1.4660472948873082,5.0,1.0,7.0,-0.8487176702832626,0.39454355165832355,4.700737895116845,5.321989377610429,2.8888430279039312e-06
High,75,S4,22,88,5.465909090909091,1.4459524454141515,6.0,1.0,7.0,-0.9576151797642244,0.43964148123812663,5.159541041439782,5.7722771403783995,2.6812818987309583e-07
High,75,S5,22,88,6.8522727272727275,1.7586552642738125,7.0,2.0,9.0,-0.8464784516578879,0.2826622783933521,6.479649281243576,7.224896173301879,7.268078206834616e-06
Low,15,S1,10,40,5.175,1.356607760328908,5.0,1.0,7.0,-0.6583236330092671,0.9437402722908117,4.741135791589538,5.608864208410462,0.0024954555556178093
Low,15,S2,10,40,5.225,1.4230249470757703,5.0,2.0,7.0,-0.5316738801638168,-0.35712625706128076,4.769894544859686,5.680105455140313,0.003953106235712767
Low,15,S3,10,40,5.3,1.3996336517011727,6.0,2.0,7.0,-0.746563898016065,-0.08564562710267865,4.852375444017254,5.747624555982745,0.0013672380009666085
Low,15,S4,10,40,4.75,1.3913653136029502,5.0,1.0,7.0,-0.6087438028809983,0.30419269250437786,4.305019786817554,5.194980213182446,0.016274157911539078
Low,15,S5,10,40,5.95,1.6322078801741415,6.0,2.0,9.0,-0.06461541030180122,-0.3952154307709166,5.427994597553105,6.472005402446896,0.05450225621461868
Low,45,S1,10,40,5.125,1.3809602753342625,5.0,2.0,7.0,-0.17390740767343177,-0.7412331847641571,4.683347479481519,5.566652520518481,0.0063140965066850185
Low,45,S2,10,40,5.35,1.459715462262845,6.0,2.0,7.0,-0.7026374632855673,-0.3489868380313288,4.883160348879595,5.816839651120405,0.000905631750356406
Low,45,S3,10,40,5.125,1.5555937113757548,5.5,2.0,7.0,-0.433565026202346,-0.9961473701928298,4.627496997340851,5.622503002659149,0.0015427269972860813
Low,45,S4,10,40,5.0,1.3959648809042255,5.0,2.0,7.0,-0.17859151231862633,-0.8511267500187167,4.55354877383609,5.44645122616391,0.01158944983035326
Low,45,S5,10,40,6.025,1.7901081474277412,6.0,2.0,9.0,-0.09586166168090691,-0.5699784027013464,5.4524956423922015,6.597504357607799,0.16948620975017548
Low,75,S1,10,40,5.275,1.449801047358939,5.0,2.0,7.0,-0.61521817159682,-0.29396865513318327,4.811331132579884,5.738668867420117,0.0011412829626351595
Low,75,S2,10,40,5.35,1.4060309658478636,6.0,3.0,7.0,-0.4337535913276039,-1.1082146930572063,4.900329483704057,5.799670516295942,0.00029922061366960406
Low,75,S3,10,40,4.75,1.4978617237881953,5.0,1.0,7.0,-0.5120080719423793,-0.14810648242227176,4.270960582635812,5.229039417364188,0.00980433914810419
Low,75,S4,10,40,5.25,1.6290629680421054,5.5,1.0,7.0,-0.6882984184942268,-0.30128148245748454,4.729000389243663,5.770999610756337,0.0009782810229808092
Low,75,S5,10,40,6.35,1.8194110064129025,6.0,2.0,9.0,-0.14909810911316196,-0.42564067519431914,5.768124133478911,6.9318758665210884,0.022806650027632713
