WWR,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
15,B1,32,64,4.90625,1.4444062876523087,5.0,1.0,7.0,-0.7447976063146369,-0.06093304119659759,4.545448044574215,5.267051955425785,6.665597175015137e-05
15,B2,32,64,4.46875,1.6131281845168224,5.0,1.0,7.0,-0.2698365545672778,-1.0329928237769146,4.065802568725582,4.871697431274418,0.0006662164232693613
15,B3,32,64,3.953125,1.8120381184889967,4.0,1.0,7.0,0.15448244101301575,-0.954346928849195,3.5004913455733537,4.405758654426647,0.0021496261470019817
15,Bmean,32,64,4.442708333333333,1.4365531541598562,4.5,1.3333333333333333,7.0,-0.29089727990432235,-0.7550852727205561,4.083868032287287,4.801548634379379,0.07289416342973709
45,B1,32,64,4.90625,1.4444062876523087,5.0,1.0,7.0,-0.7447976063146369,-0.06093304119659759,4.545448044574215,5.267051955425785,6.665597175015137e-05
45,B2,32,64,4.46875,1.6131281845168224,5.0,1.0,7.0,-0.2698365545672778,-1.0329928237769146,4.065802568725582,4.871697431274418,0.0006662164232693613
45,B3,32,64,3.953125,1.8120381184889967,4.0,1.0,7.0,0.15448244101301575,-0.954346928849195,3.5004913455733537,4.405758654426647,0.0021496261470019817
45,Bmean,32,64,4.442708333333333,1.4365531541598562,4.5,1.3333333333333333,7.0,-0.29089727990432235,-0.7550852727205561,4.083868032287287,4.801548634379379,0.07289416342973709
75,B1,32,64,4.90625,1.4444062876523087,5.0,1.0,7.0,-0.7447976063146369,-0.06093304119659759,4.545448044574215,5.267051955425785,6.665597175015137e-05
75,B2,32,64,4.46875,1.6131281845168224,5.0,1.0,7.0,-0.2698365545672778,-1.0329928237769146,4.065802568725582,4.871697431274418,0.0006662164232693613
75,B3,32,64,3.953125,1.8120381184889967,4.0,1.0,7.0,0.15448244101301575,-0.954346928849195,3.5004913455733537,4.405758654426647,0.0021496261470019817
75,Bmean,32,64,4.442708333333333,1.4365531541598562,4.5,1.3333333333333333,7.0,-0.29089727990432235,-0.7550852727205561,4.083868032287287,4.801548634379379,0.07289416342973709
