Complexity,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
0,S1,32,192,5.807291666666667,0.891700509869721,6.0,3.0,7.0,-0.5061215962175453,0.03388916904350303,5.680357936267022,5.934225397066312,7.746464060487401e-12
0,S2,32,192,6.135416666666667,0.7875974689674351,6.0,4.0,7.0,-0.6996711189929227,0.15214660089569865,6.023302023148115,6.247531310185219,2.6380160127745592e-14
0,S3,32,192,5.963541666666667,0.9454902373005846,6.0,3.0,7.0,-0.7531207892924636,0.08981071186219314,5.8289509587455255,6.098132374587808,6.406234592283566e-13
0,S4,32,192,5.916666666666667,1.0043535251545652,6.0,2.0,7.0,-0.8654364528818373,0.6410074977316502,5.7736967589713935,6.0596365743619405,9.908929145957535e-13
0,S5,32,192,7.223958333333333,1.3368905700021072,7.0,3.0,9.0,-0.39084746481059124,-0.4533642644532758,7.033651716584545,7.414264950082121,3.8771599264464385e-09
1,S1,32,192,4.651041666666667,1.3948667891635185,5.0,1.0,7.0,-0.15167212457260387,-0.5643554903816579,4.452482124534108,4.849601208799226,2.003961014906963e-07
1,S2,32,192,4.604166666666667,1.4140592985534517,5.0,2.0,7.0,-0.04596691429139523,-0.8784571224752384,4.4028750673180035,4.80545826601533,1.1978107750110212e-07
1,S3,32,192,4.380208333333333,1.5472400553342442,5.0,1.0,7.0,-0.18439932872718834,-0.7128577069697482,4.159958428938838,4.600458237727828,8.039579597607371e-07
1,S4,32,192,4.46875,1.6111725430104578,5.0,1.0,7.0,-0.14042904119826655,-0.7873809281349624,4.239399294311069,4.698100705688931,7.82244796937448e-07
1,S5,32,192,5.625,1.7973220335116902,6.0,2.0,9.0,0.018452771030560092,-0.6464632327280531,5.369150880348329,5.880849119651671,2.426897299301345e-05
