WWR,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
15,S1,32,128,5.046875,1.3738810765850242,5.0,1.0,7.0,-0.5852072667102984,-0.18893518883424543,4.806576895013619,5.287173104986381,9.719806257635355e-07
15,S2,32,128,5.2109375,1.4398837647204417,5.0,2.0,7.0,-0.57026103692778,-0.502568777153094,4.959095221974733,5.462779778025267,1.410886483199647e-07
15,S3,32,128,5.2734375,1.5251944177091075,6.0,1.0,7.0,-0.7844970890716965,-0.12439718165449554,5.006673997279447,5.540201002720553,2.157792167167827e-08
15,S4,32,128,4.8515625,1.5828303352156037,5.0,1.0,7.0,-0.5141487196460737,-0.5213997689040397,4.574718210818374,5.128406789181626,1.6430020650659571e-06
15,S5,32,128,6.09375,1.7677669529663689,6.0,2.0,9.0,-0.23127986027920855,-0.7552342101237342,5.784559447706169,6.402940552293831,6.916054553585127e-05
45,S1,32,128,5.2578125,1.2627060913879946,5.0,2.0,7.0,-0.5713646243119456,-0.02639337222930438,5.036959410102654,5.478665589897346,2.786849506719591e-07
45,S2,32,128,5.5,1.2920105799035382,6.0,2.0,7.0,-0.912373369890349,0.2753787316279306,5.274021420584024,5.725978579415976,2.8028954712766563e-09
45,S3,32,128,5.3125,1.4993436884393758,6.0,2.0,7.0,-0.7061717094856,-0.4693454381504165,5.050257908456805,5.574742091543195,9.417855828530719e-09
45,S4,32,128,5.328125,1.4369114680206063,6.0,1.0,7.0,-0.7243060224162828,-0.18749748786459364,5.076802590307299,5.579447409692701,4.307533529868124e-08
45,S5,32,128,6.484375,1.7251469183126924,7.0,2.0,9.0,-0.351760601289027,-0.3709725318771877,6.182638887348928,6.786111112651072,3.7306610465748236e-05
75,S1,32,128,5.3828125,1.2619263723733405,6.0,2.0,7.0,-0.6864040246062788,-0.010732037707791964,5.16209578653642,5.60352921346358,6.139381270031663e-08
75,S2,32,128,5.3984375,1.3880243919320818,6.0,2.0,7.0,-0.6388142838883548,-0.6501145013020708,5.155665664256245,5.641209335743755,5.987479845259713e-09
75,S3,32,128,4.9296875,1.4751676469520925,5.0,1.0,7.0,-0.7292457366029966,0.11873674644173615,4.67167390905593,5.18770109094407,3.3355345863128605e-07
75,S4,32,128,5.3984375,1.5024381431578966,6.0,1.0,7.0,-0.8626841777359794,0.11874615431477498,5.135654174126193,5.661220825873807,6.122759632631869e-09
75,S5,32,128,6.6953125,1.7860288671164384,7.0,2.0,9.0,-0.6080445885442772,-0.15291749263538712,6.3829278551180435,7.0076971448819565,2.0070633581781294e-06
